ID,Start_Date,End_Date,Possible_Credit,Credit_Type,Course_Name,School_Year,Term,Status
1305071,9/8/2020,10/23/2020,0.5,ELA,English Lang Arts I (Gr 9)-A,20-21,S1,Dropped
1305154,9/8/2020,10/23/2020,0.5,MTH,Algebra I-A,20-21,S1,Dropped
1304906,9/8/2020,10/23/2020,0.5,OTHER,Creative Writing I-A,20-21,S1,Dropped
1304826,9/8/2020,10/23/2020,0.5,SS,U.S. History & Geography-A,20-21,S1,Dropped
1304744,9/8/2020,10/23/2020,0.5,SCI,Next Gen Physical Science-A,20-21,S1,Dropped
1304988,9/8/2020,10/23/2020,0.5,OTHER,Introduction to Computer Technology-A,20-21,S1,Dropped
1137468,9/8/2020,2/3/2021,0.5,OTHER,Seminar-A,20-21,S1,
1138817,9/8/2020,9/28/2020,0.5,LANG,Spanish I-A,20-21,S1,Dropped
1137663,9/8/2020,2/3/2021,0.5,MTH,Algebra I-A,20-21,S1,
1137815,9/8/2020,2/3/2021,0.5,ELA,English Lang Arts I (Gr 9)-A,20-21,S1,
1507404,9/8/2020,2/3/2021,0.5,SS,U.S. History & Geography-A,20-21,S1,
1137517,9/8/2020,2/3/2021,0.5,SCI,Next Gen Physical Science-A,20-21,S1,
1643747,9/28/2020,2/3/2021,0.5,OTHER,OG Tutoring Seminar (Gr 9)-A,20-21,S1,
1650067,9/29/2020,2/3/2021,0.5,ELA,English Lang Arts I (Gr 9)-A,20-21,S1,
1650065,9/29/2020,2/3/2021,0.5,SCI,Next Gen Physical Science-A,20-21,S1,
1650072,9/29/2020,2/3/2021,0.5,MTH,Algebra I-A,20-21,S1,
1649787,9/29/2020,2/3/2021,0.5,OTHER,Leadership-A,20-21,S1,
1650089,9/29/2020,2/3/2021,0.5,SS,U.S. History & Geography-A,20-21,S1,
1650062,9/29/2020,10/2/2020,0.5,SS,U.S. History & Geography-A,20-21,S1,Dropped
1650076,9/29/2020,2/3/2021,0.5,OTHER,Introduction to Computer Technology-A,20-21,S1,
1654129,10/1/2020,2/3/2021,0.5,LANG,Spanish I-A,20-21,S1,
1650073,2/3/2021,6/25/2021,0.5,MTH,Algebra I-B,20-21,S2,
1649788,2/3/2021,6/25/2021,0.5,OTHER,Leadership-B,20-21,S2,
1650077,2/3/2021,6/25/2021,0.5,OTHER,Introduction to Computer Technology-B,20-21,S2,
1654130,2/3/2021,6/25/2021,0.5,LANG,Spanish I-B,20-21,S2,
1650066,2/3/2021,6/25/2021,0.5,SCI,Next Gen Physical Science-B,20-21,S2,
1650063,2/3/2021,6/25/2021,0.5,SS,U.S. History & Geography-B,20-21,S2,
1650068,2/3/2021,6/25/2021,0.5,ELA,English Lang Arts I (Gr 9)-B,20-21,S2,
1756282,2/3/2021,6/25/2021,0.5,OTHER,Seminar-B,20-21,S2,
1769329,2/3/2021,6/25/2021,0.5,OTHER,OG Tutoring Seminar (Gr 9)-B,20-21,S2,
1752941,2/3/2021,6/25/2021,0.5,MTH,Algebra I-B,20-21,S2,
1756063,2/3/2021,6/25/2021,0.5,SS,U.S. History & Geography-B,20-21,S2,
